file_name,number,title,date,author,publisher
bpt6k98009990	81	L'École des bourgeois , comedie. En trois actes avec un prologue. Par M. d'Allainval	1733	Allainval, Léonor-Jean-Christine Soulas d' (1700?-1753). Auteur du texte	A. van Dole (La Haye)
bpt6k56297021	82	L'école des bourgeois : comédie en trois actes, représentée pour la première fois à Paris, en 1728 (Nouvelle édition) / D'Allainval	1878	Allainval, Léonor-Jean-Christine Soulas d' (1700?-1753). Auteur du texte	chez tous les libraires (Paris)
bpt6k5814947z	83	L'hiver , comédie, représentée pour la première fois par les comédiens italiens ordinaires du Roi, le 19 février 1733. Par M. d'Allainval	1733	Allainval, Léonor-Jean-Christine Soulas d' (1700?-1753). Auteur du texte	Briasson (Paris)
bpt6k58156566	84	Le mari curieux , comédie en un acte. Représentée pour la première fois, le mardy 17 juillet 1731, par les comédiens ordinaires du Roy, par M. d'Allainval	1731	Allainval, Léonor-Jean-Christine Soulas d' (1700?-1753). Auteur du texte	Briasson (Paris)
bpt6k5711900c	85	Le tour de carnaval , comédie en un acte. Representée sur le théatre de l'hôtel de Bourgogne, par les comediens italiens ordinaires du Roy. Par M. d'Allainval	1727	Allainval, Léonor-Jean-Christine Soulas d' (1700?-1753). Auteur du texte	A Paris, au Palais, chez Pierre-Michel Brunet fils, au cinquiéme Pillier de la Grand'-salle, au Saint Estprit. M. DCC. XXVII. Avec privilege du Roy
bpt6k134109q	86	Une idée lumineuse : monologue comique / Alphonse Allais , dit par Coquelin Cadet	1888	Allais, Alphonse (1854-1905). Auteur du texte	P. Ollendorff (Paris)
bpt6k6545142r	87	La croix de ma mère, drame-vaudeville en cinq actes et six tableaux / par M. Lermite (Calixte-Zénon Allec)	1857	Allec, Calixte-Zénon (1813-1885). Auteur du texte	Michel Lévy (Paris)
bpt6k76107j	88	Tout pour l'honneur : drame en 5 actes, mêlé de chant / par M. Lermite	1859	Allec, Calixte-Zénon (1813-1885). Auteur du texte	Mifliez (Paris) ¤ Tresse (Paris)
bpt6k62637154	89	C'est ma chambre : vaudeville en un acte / de MM. E. Pierron et A. d'Almbert...	1841	Pierron, Eugène (1819-1865). Auteur du texte ¤ Almbert, Alfred d' (1813-1887). Auteur du texte	Henriot (Paris) ¤ C. Tresse (Paris)
bpt6k5478326n	90	Les Froids pendant le siège de Paris. Souvenirs / Eugène Alquier	1872	Alquier, Eugène. Auteur du texte	impr. de J. Juteau (Paris)
bpt6k5713205n	91	Les vrais incroyables, ou Les métamorphoses modernes , comédie en un acte et en vers... par M. Amar,...	1798	Amar Du Rivier, Jean-Augustin (1765-1837). Auteur du texte	Matheron (Lyon)
bd6t54200612j	92	L'Ami Grandet : comédie en 3 actes, mêlée de couplets. [Paris, Vaudeville, 24 octobre 1834]. Numéro 84,Tome 4 / par MM. Ancelot et Alexis de Comberousse...	1834	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte ¤ Decomberousse, Alexis (1793-1862). Auteur du texte	[Marchant] (Paris)
bpt6k5851923q	93	Anna : comédie en un acte, mêlée de couplets / par M. Ancelot	1832	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	J. N. Barba (Paris)
bpt6k97040475	94	Deux jours, ou La nouvelle mariée : comédie en trois actes, mêlée de couplets / par M. Ancelot	1832	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	J.-N. Barba (Paris)
bd6t5753065d	95	Élisabeth d'Angleterre : tragédie en 5 actes. [Paris, Théâtre-Français, 4 décembre 1829] / par M. Ancelot	1829	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	J. Bréauté (Paris)
bd6t53747992	96	L'escroc du grand monde : comédie en 3 actes, mêlée de chants. Tome 22 / par M. Ancelot	1838	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	Marchant (Paris)
bd6t54198675s	97	La laide : comédie-vaudeville en 3 actes. Année 3,Tome 2 / par M. Ancelot	1836	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	Marchant (Paris)
bpt6k5696343k	98	Maria Padilla : tragédie en 5 actes / par M. Ancelot	1838	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	Marchant (Paris)
bpt6k9744369w	99	Olga, ou L'orpheline moscovite , tragédie en cinq actes et en vers, par M. Ancelot	1828	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	Bréauté (Paris)
bpt6k96828085	100	Quitte ou double : comédie en deux actes, mêlée de couplets / par MM. Ancelot et Paul Duport	1840	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte ¤ Duport, Paul (1798-1866). Auteur du texte	Marchant (Paris)
bpt6k9822384n	101	Le régent : comédie en trois actes mêlée de couplets / par M. Ancelot	1832	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	J.-N. Barba (Paris)
bpt6k9808466c	102	Reine, cardinal et page : comédie en un acte, mêlée de chant / par M. Ancelot	1832	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	Dondey-Dupré (Paris) ¤ Marchand (Paris)
bd6t54200178k	103	La robe déchirée : comédie-vaudeville en 1 acte. Numéro 56,Tome 3 / par M. Ancelot	1834	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	Marchant (Paris)
bpt6k9808866r	104	La robe déchirée : comédie-vaudeville en un acte / par M. Ancelot	1834	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	Marchant (Paris)
bd6t57531048	105	Le roi malgré lui : comédie en 2 actes, mêlée de couplets / par M. Ancelot	1836	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	Marchant (Paris)
bpt6k96664910	106	Trop heureuse, ou Un jeune ménage : comédie en 1 acte, mêlée de chant / par MM. Ancelot et Leroux	1837	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte ¤ Le Roux, Hippolyte (1801-1860). Auteur du texte	Marchant (Paris)
bpt6k74998d	107	Un divorce : drame en 1 acte, mêlé de chant / par M. Ancelot	1831	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	J.-N. Barba (Paris)
bpt6k9809865n	108	Un mariage raisonnable : comédie en un acte en prose / par M. Ancelot	1835	Ancelot, Jacques-Arsène-François-Polycarpe (1794-1854). Auteur du texte	Marchant (Paris)
bpt6k96664643	109	Le château de ma nièce : comédie en un acte, en prose / par Mme Ancelot	1837	Ancelot, Virginie (1792-1875). Auteur du texte	Marchant (Paris)
bpt6k98011272	110	Clémence ou La fille de l'avocat : comédie en deux actes mêlée de chant / par madame Ancelot	1839	Ancelot, Virginie (1792-1875). Auteur du texte	Marchant (Paris)
bpt6k96049011	111	Les deux impératrices, ou Une petite guerre : comédie en trois actes, en prose / par Mme Ancelot	1842	Ancelot, Virginie (1792-1875). Auteur du texte	Beck (Paris) ¤ Tresse (Paris)
bpt6k96035977	112	Follette : comédie-vaudeville en un acte / par Mme Ancelot	1844	Ancelot, Virginie (1792-1875). Auteur du texte	Beck (Paris)
bpt6k3043553g	113	Hermance, ou Un an trop tard : comédie en trois actes, mêlée de chant / par Mme Ancelot	1843	Ancelot, Virginie (1792-1875). Auteur du texte	Beck (Paris)
